name,type,subtype,variable,outcome,notes
V0152,household,household,Number of motor vehicles for households in occupied private dwellings,Total households in occupied private dwellings,
V0153,household,household,Access to telecommunications for households in occupied private dwellings,No Access to Telecommunication Systems,"Households reporting more than one way to access telecommunication systems were counted in each stated category. Therefore the total responses in the table will be more than the total number of households.;

In 2001 access to a cellphone was included in the access to a telephone category."
V0154,household,household,Access to telecommunications for households in occupied private dwellings,Access to a Cellphone/Mobile Phone,"Households reporting more than one way to access telecommunication systems were counted in each stated category. Therefore the total responses in the table will be more than the total number of households.;

In 2001 access to a cellphone was included in the access to a telephone category."
V0155,household,household,Access to telecommunications for households in occupied private dwellings,Access to a Telephone,"Households reporting more than one way to access telecommunication systems were counted in each stated category. Therefore the total responses in the table will be more than the total number of households.;

In 2001 access to a cellphone was included in the access to a telephone category."
V0156,household,household,Access to telecommunications for households in occupied private dwellings,Access to a Fax Machine,"Households reporting more than one way to access telecommunication systems were counted in each stated category. Therefore the total responses in the table will be more than the total number of households.;

In 2001 access to a cellphone was included in the access to a telephone category."
V0157,household,household,Access to telecommunications for households in occupied private dwellings,Access to the Internet,"Households reporting more than one way to access telecommunication systems were counted in each stated category. Therefore the total responses in the table will be more than the total number of households.;

In 2001 access to a cellphone was included in the access to a telephone category."
V0158,household,household,Access to telecommunications for households in occupied private dwellings,Total households stated,"Households reporting more than one way to access telecommunication systems were counted in each stated category. Therefore the total responses in the table will be more than the total number of households.;

In 2001 access to a cellphone was included in the access to a telephone category."
V0159,household,household,Access to telecommunications for households in occupied private dwellings,Not Elsewhere Included,"Households reporting more than one way to access telecommunication systems were counted in each stated category. Therefore the total responses in the table will be more than the total number of households.;

In 2001 access to a cellphone was included in the access to a telephone category.;

Consists of response unidentifiable and not stated."
V0160,household,household,Access to telecommunications for households in occupied private dwellings,Total households in occupied private dwellings,"Households reporting more than one way to access telecommunication systems were counted in each stated category. Therefore the total responses in the table will be more than the total number of households.;

In 2001 access to a cellphone was included in the access to a telephone category."
V0161,individual,demographics,Census usually resident population count,,See definition of census usually resident population count
V0162,individual,demographics,Census night population count,,See definition of census night population count
V0163,individual,demographics,Sex for the census usually resident population count,Male,See definition of census usually resident population count
V0164,individual,demographics,Sex for the census usually resident population count,Female,See definition of census usually resident population count
V0165,individual,demographics,Sex for the census usually resident population count,Total people,See definition of census usually resident population count
V0166,individual,demographics,Age in five-year groups for the census usually resident population count,0-4 Years,See definition of census usually resident population count
V0167,individual,demographics,Age in five-year groups for the census usually resident population count,5-9 Years,See definition of census usually resident population count
V0168,individual,demographics,Age in five-year groups for the census usually resident population count,10-14 Years,See definition of census usually resident population count
V0169,individual,demographics,Age in five-year groups for the census usually resident population count,15-19 Years,See definition of census usually resident population count
V0170,individual,demographics,Age in five-year groups for the census usually resident population count,20-24 Years,See definition of census usually resident population count
V0171,individual,demographics,Age in five-year groups for the census usually resident population count,25-29 Years,See definition of census usually resident population count
V0172,individual,demographics,Age in five-year groups for the census usually resident population count,30-34 Years,See definition of census usually resident population count
V0173,individual,demographics,Age in five-year groups for the census usually resident population count,35-39 Years,See definition of census usually resident population count
V0174,individual,demographics,Age in five-year groups for the census usually resident population count,40-44 Years,See definition of census usually resident population count
V0175,individual,demographics,Age in five-year groups for the census usually resident population count,45-49 Years,See definition of census usually resident population count
V0176,individual,demographics,Age in five-year groups for the census usually resident population count,50-54 Years,See definition of census usually resident population count
V0177,individual,demographics,Age in five-year groups for the census usually resident population count,55-59 Years,See definition of census usually resident population count
V0178,individual,demographics,Age in five-year groups for the census usually resident population count,60-64 Years,See definition of census usually resident population count
V0179,individual,demographics,Age in five-year groups for the census usually resident population count,65 years and Over,See definition of census usually resident population count
V0180,individual,demographics,Age in five-year groups for the census usually resident population count,Total people,See definition of census usually resident population count
V0181,individual,demographics,Age in five-year groups for the census usually resident population count,Median Age,"See definition of census usually resident population count;

Calculated using single-year-of-age data that has been independently randomly rounded. For categories with small populations the data may not look as expected because of the effect of random rounding."
V0182,individual,demographics,Age in broad groups for the census usually resident population count,Under 15 years,See definition of census usually resident population count
V0183,individual,demographics,Age in broad groups for the census usually resident population count,15-64 Years,See definition of census usually resident population count
V0184,individual,demographics,Age in broad groups for the census usually resident population count,65 years and Over,See definition of census usually resident population count
V0185,individual,demographics,Age in broad groups for the census usually resident population count,Total people,See definition of census usually resident population count
V0186,individual,demographics,Years at usual residence for the census usually resident population count,0 Years,See definition of census usually resident population count
V0187,individual,demographics,Years at usual residence for the census usually resident population count,1-4 Years,See definition of census usually resident population count
V0188,individual,demographics,Years at usual residence for the census usually resident population count,5-9 Years,See definition of census usually resident population count
V0189,individual,demographics,Years at usual residence for the census usually resident population count,10-14 Years,See definition of census usually resident population count
V0190,individual,demographics,Years at usual residence for the census usually resident population count,15-29 Years,See definition of census usually resident population count
V0191,individual,demographics,Years at usual residence for the census usually resident population count,30 Years or More,See definition of census usually resident population count
V0192,individual,demographics,Years at usual residence for the census usually resident population count,Total people stated,See definition of census usually resident population count
V0193,individual,demographics,Years at usual residence for the census usually resident population count,Not Elsewhere Included,"See definition of census usually resident population count;

Consists of response unidentifiable and not stated."
V0194,individual,demographics,Years at usual residence for the census usually resident population count,Total people,See definition of census usually resident population count
V0195,individual,demographics,Birthplace for the census usually resident population count,NZ born,See definition of census usually resident population count
V0196,individual,demographics,Birthplace for the census usually resident population count,Overseas born,See definition of census usually resident population count
V0197,individual,demographics,Birthplace for the census usually resident population count,Total people stated,See definition of census usually resident population count
V0198,individual,demographics,Birthplace for the census usually resident population count,Not Elsewhere Included,"See definition of census usually resident population count;

Consists of inadequately described and not stated."
V0199,individual,demographics,Birthplace for the census usually resident population count,Total people,See definition of census usually resident population count
V0200,individual,demographics,Years since arrival in New Zealand for the overseas-born census usually resident population count,0-9 Years,See definition of census usually resident population count
V0201,individual,demographics,Years since arrival in New Zealand for the overseas-born census usually resident population count,10-19 Years,See definition of census usually resident population count
V0202,individual,demographics,Years since arrival in New Zealand for the overseas-born census usually resident population count,20-29 Years,See definition of census usually resident population count
V0203,individual,demographics,Years since arrival in New Zealand for the overseas-born census usually resident population count,30-39 Years,See definition of census usually resident population count
V0204,individual,demographics,Years since arrival in New Zealand for the overseas-born census usually resident population count,40-49 Years,See definition of census usually resident population count
V0205,individual,demographics,Years since arrival in New Zealand for the overseas-born census usually resident population count,50 Years or More,See definition of census usually resident population count
V0206,individual,demographics,Years since arrival in New Zealand for the overseas-born census usually resident population count,Total people stated,See definition of census usually resident population count
V0207,individual,demographics,Years since arrival in New Zealand for the overseas-born census usually resident population count,Not Elsewhere Included,"See definition of census usually resident population count;

Consists of response unidentifiable response outside scope and not stated."
V0208,individual,demographics,Years since arrival in New Zealand for the overseas-born census usually resident population count,Total people,See definition of census usually resident population count
V0209,individual,demographics,Ethnic group (grouped total responses) for the census usually resident population count,European,"Includes all people who stated each ethnic group whether as their only ethnic group or as one of several. Where a person reported more than one ethnic group they were counted in each applicable group.;

In 2001 up to six ethnicity responses per person were output (prioritised at input) and in 2006 and 2013 up to six responses per person were output (randomised after input).;

See definition of census usually resident population count"
V0210,individual,demographics,Ethnic group (grouped total responses) for the census usually resident population count,Maori,"Includes all people who stated each ethnic group whether as their only ethnic group or as one of several. Where a person reported more than one ethnic group they were counted in each applicable group.;

In 2001 up to six ethnicity responses per person were output (prioritised at input) and in 2006 and 2013 up to six responses per person were output (randomised after input).;

See definition of census usually resident population count"
V0211,individual,demographics,Ethnic group (grouped total responses) for the census usually resident population count,Pacific Peoples,"Includes all people who stated each ethnic group whether as their only ethnic group or as one of several. Where a person reported more than one ethnic group they were counted in each applicable group.;

In 2001 up to six ethnicity responses per person were output (prioritised at input) and in 2006 and 2013 up to six responses per person were output (randomised after input).;

See definition of census usually resident population count"
V0212,individual,demographics,Ethnic group (grouped total responses) for the census usually resident population count,Asian,"Includes all people who stated each ethnic group whether as their only ethnic group or as one of several. Where a person reported more than one ethnic group they were counted in each applicable group.;

In 2001 up to six ethnicity responses per person were output (prioritised at input) and in 2006 and 2013 up to six responses per person were output (randomised after input).;

See definition of census usually resident population count"
V0213,individual,demographics,Ethnic group (grouped total responses) for the census usually resident population count,MELAA,"Includes all people who stated each ethnic group whether as their only ethnic group or as one of several. Where a person reported more than one ethnic group they were counted in each applicable group.;

In 2001 up to six ethnicity responses per person were output (prioritised at input) and in 2006 and 2013 up to six responses per person were output (randomised after input).;

See definition of census usually resident population count;

MELAA = Middle Eastern Latin American and African.  This was a new category introduced for the 2006 Census.  Previously MELAA responses were allocated to the 'other ethnicity' category."
V0214,individual,demographics,Ethnic group (grouped total responses) for the census usually resident population count,Other,"Includes all people who stated each ethnic group whether as their only ethnic group or as one of several. Where a person reported more than one ethnic group they were counted in each applicable group.;

In 2001 up to six ethnicity responses per person were output (prioritised at input) and in 2006 and 2013 up to six responses per person were output (randomised after input).;

See definition of census usually resident population count;

Consists of responses for a number of small ethnic groups and for New Zealander. New Zealander was included as a new category for the 2006 Census.  In 2001 New Zealander was counted in the European category."
V0215,individual,demographics,Ethnic group (grouped total responses) for the census usually resident population count,Total people stated,"Includes all people who stated each ethnic group whether as their only ethnic group or as one of several. Where a person reported more than one ethnic group they were counted in each applicable group.;

In 2001 up to six ethnicity responses per person were output (prioritised at input) and in 2006 and 2013 up to six responses per person were output (randomised after input).;

See definition of census usually resident population count"
V0216,individual,demographics,Ethnic group (grouped total responses) for the census usually resident population count,Not Elsewhere Included,"Includes all people who stated each ethnic group whether as their only ethnic group or as one of several. Where a person reported more than one ethnic group they were counted in each applicable group.;

In 2001 up to six ethnicity responses per person were output (prioritised at input) and in 2006 and 2013 up to six responses per person were output (randomised after input).;

See definition of census usually resident population count"
V0217,individual,demographics,Ethnic group (grouped total responses) for the census usually resident population count,Total people,"Includes all people who stated each ethnic group whether as their only ethnic group or as one of several. Where a person reported more than one ethnic group they were counted in each applicable group.;

In 2001 up to six ethnicity responses per person were output (prioritised at input) and in 2006 and 2013 up to six responses per person were output (randomised after input).;

See definition of census usually resident population count"
V0218,individual,demographics,Six languages (total responses) for the census usually resident population count,English,"Includes all people who stated each language spoken whether as their only language or as one of several. Where a person reported more than one language spoken they were counted in each applicable group.;

See definition of census usually resident population count"
V0219,individual,demographics,Six languages (total responses) for the census usually resident population count,Maori,"Includes all people who stated each language spoken whether as their only language or as one of several. Where a person reported more than one language spoken they were counted in each applicable group.;

See definition of census usually resident population count"
V0220,individual,demographics,Six languages (total responses) for the census usually resident population count,Samoan,"Includes all people who stated each language spoken whether as their only language or as one of several. Where a person reported more than one language spoken they were counted in each applicable group.;

See definition of census usually resident population count"
V0221,individual,demographics,Six languages (total responses) for the census usually resident population count,NZ Sign Language,"Includes all people who stated each language spoken whether as their only language or as one of several. Where a person reported more than one language spoken they were counted in each applicable group.;

See definition of census usually resident population count"
V0222,individual,demographics,Six languages (total responses) for the census usually resident population count,Other,"Includes all people who stated each language spoken whether as their only language or as one of several. Where a person reported more than one language spoken they were counted in each applicable group.;

See definition of census usually resident population count"
V0223,individual,demographics,Six languages (total responses) for the census usually resident population count,None (eg too young to talk),"Includes all people who stated each language spoken whether as their only language or as one of several. Where a person reported more than one language spoken they were counted in each applicable group.;

See definition of census usually resident population count;

Consists of people who were too young to talk or unable to speak a language."
V0224,individual,demographics,Six languages (total responses) for the census usually resident population count,Total people stated,"Includes all people who stated each language spoken whether as their only language or as one of several. Where a person reported more than one language spoken they were counted in each applicable group.;

See definition of census usually resident population count"
V0225,individual,demographics,Six languages (total responses) for the census usually resident population count,Not Elsewhere Included,"Includes all people who stated each language spoken whether as their only language or as one of several. Where a person reported more than one language spoken they were counted in each applicable group.;

See definition of census usually resident population count;

Consists of don't know refused to answer response unidentifiable response outside scope and not stated."
V0226,individual,demographics,Six languages (total responses) for the census usually resident population count,Total people,"Includes all people who stated each language spoken whether as their only language or as one of several. Where a person reported more than one language spoken they were counted in each applicable group.;

See definition of census usually resident population count"
V0227,individual,demographics,Maori descent for the census usually resident population count,Maori Descent,See definition of census usually resident population count
V0228,individual,demographics,Maori descent for the census usually resident population count,No Maori Descent,See definition of census usually resident population count
V0229,individual,demographics,Maori descent for the census usually resident population count,Don't Know,See definition of census usually resident population count
V0230,individual,demographics,Maori descent for the census usually resident population count,Total people stated,See definition of census usually resident population count
V0231,individual,demographics,Maori descent for the census usually resident population count,Not Elsewhere Included,"See definition of census usually resident population count;

Consists of response unidentifiable and not stated."
V0232,individual,demographics,Maori descent for the census usually resident population count,Total people,See definition of census usually resident population count
V0233,individual,demographics,Usual residence five years ago  indicator for the census usually resident population count,Same as Usual Residence,See definition of census usually resident population count
V0234,individual,demographics,Usual residence five years ago  indicator for the census usually resident population count,Elsewhere in New Zealand,See definition of census usually resident population count
V0235,individual,demographics,Usual residence five years ago  indicator for the census usually resident population count,Not Born Five Years Ago,See definition of census usually resident population count
V0236,individual,demographics,Usual residence five years ago  indicator for the census usually resident population count,Overseas,See definition of census usually resident population count
V0237,individual,demographics,Usual residence five years ago  indicator for the census usually resident population count,No Fixed Abode Five Years Ago,See definition of census usually resident population count
V0238,individual,demographics,Usual residence five years ago  indicator for the census usually resident population count,Total people stated,See definition of census usually resident population count
V0239,individual,demographics,Usual residence five years ago  indicator for the census usually resident population count,Not Elsewhere Included,See definition of census usually resident population count
V0240,individual,demographics,Usual residence five years ago  indicator for the census usually resident population count,Total people,See definition of census usually resident population count
V0241,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,No Religion,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count"
V0242,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,Buddhist,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count"
V0243,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,Christian,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count"
V0244,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,Hindu,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count"
V0245,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,Islam/Muslim,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count"
V0246,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,Judaism/ Jewish,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count"
V0247,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,Maori Christian,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count"
V0248,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,Spiritualism and New Age Religions,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count"
V0249,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,Other Religions,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count"
V0250,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,Object to Answering,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count"
V0251,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,Total people stated,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count"
V0252,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,Not Elsewhere Included,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count;

Consists of don't know religion unidentifiable response outside scope and not stated."
V0253,individual,demographics,Religious affiliation (total responses) for the census usually resident population count,Total people,"Includes all people who stated each religious affiliation whether as their only religious affiliation or as one of several. Where a person reported more than one religious affiliation they were counted in each applicable group.;

See definition of census usually resident population count"
V0254,individual,demographics,Legally registered relationship status for the census usually resident population count aged 15 years and over,Married (not separated),See definition of census usually resident population count
V0255,individual,demographics,Legally registered relationship status for the census usually resident population count aged 15 years and over,Separated/divorced or dissolved/widowed/surviving partner,"See definition of census usually resident population count;

Includes people who are still legally married but permanently separated.  This also applies to civil unions in 2006 and 2013.;

Includes dissolved marriages (also known as divorced) and dissolved civil unions in 2006 and 2013.;

In 2006 this category was widowed or bereaved civil union partner."
V0256,individual,demographics,Legally registered relationship status for the census usually resident population count aged 15 years and over,Never married and never in a civil union,See definition of census usually resident population count
V0257,individual,demographics,Legally registered relationship status for the census usually resident population count aged 15 years and over,Total people stated,See definition of census usually resident population count
V0258,individual,demographics,Legally registered relationship status for the census usually resident population count aged 15 years and over,Not Elsewhere Included,"See definition of census usually resident population count;

In 2001 consisted of response unidentifiable and not stated. In 2006 and 2013 consisted of joined in a civil union (not separated) response unidentifiable and not stated."
V0259,individual,demographics,Legally registered relationship status for the census usually resident population count aged 15 years and over,Total people,See definition of census usually resident population count
V0260,individual,demographics,Partnership status in current relationship for the census usually resident population count aged 15 years and over,Partnered,See definition of census usually resident population count
V0261,individual,demographics,Partnership status in current relationship for the census usually resident population count aged 15 years and over,Non-Partnered,See definition of census usually resident population count
V0262,individual,demographics,Partnership status in current relationship for the census usually resident population count aged 15 years and over,Total people stated,See definition of census usually resident population count
V0263,individual,demographics,Partnership status in current relationship for the census usually resident population count aged 15 years and over,Not stated,See definition of census usually resident population count
V0264,individual,demographics,Partnership status in current relationship for the census usually resident population count aged 15 years and over,Total people,See definition of census usually resident population count
V0265,individual,tenure,Tenure holder for the census usually resident population count aged 15 years and over,Own or Partly Own Usual Residence,"Tenure holder indicates whether a person owns the dwelling they live in or not.;

See definition of census usually resident population count;

In 2006 and 2013 included people whose home was in a family trust."
V0266,individual,tenure,Tenure holder for the census usually resident population count aged 15 years and over,Do Not Own Usual Residence,"Tenure holder indicates whether a person owns the dwelling they live in or not.;

See definition of census usually resident population count"
V0267,individual,tenure,Tenure holder for the census usually resident population count aged 15 years and over,Total people stated,"Tenure holder indicates whether a person owns the dwelling they live in or not.;

See definition of census usually resident population count"
V0268,individual,tenure,Tenure holder for the census usually resident population count aged 15 years and over,Not Elsewhere Included,"Tenure holder indicates whether a person owns the dwelling they live in or not.;

See definition of census usually resident population count;

Consists of responses unidentifiable and not stated."
V0269,individual,tenure,Tenure holder for the census usually resident population count aged 15 years and over,Total people,"Tenure holder indicates whether a person owns the dwelling they live in or not.;

See definition of census usually resident population count"
V0270,individual,income,Total personal income (grouped) for the census usually resident population count aged 15 years and over,$5000 or Less,"A person's total personal income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total personal income (grouped) is an aggregated output variable with income bands of: 
$5000 or less 
$5001-$10000 
$10001-$20000 
$20001-$30000 
$30001-$50000 
$50001 or more 
Not stated. 
It was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

See definition of census usually resident population count"
V0271,individual,income,Total personal income (grouped) for the census usually resident population count aged 15 years and over,$5001-$10000,"A person's total personal income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total personal income (grouped) is an aggregated output variable with income bands of: 
$5000 or less 
$5001-$10000 
$10001-$20000 
$20001-$30000 
$30001-$50000 
$50001 or more 
Not stated. 
It was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

See definition of census usually resident population count"
V0272,individual,income,Total personal income (grouped) for the census usually resident population count aged 15 years and over,$10001-$20000,"A person's total personal income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total personal income (grouped) is an aggregated output variable with income bands of: 
$5000 or less 
$5001-$10000 
$10001-$20000 
$20001-$30000 
$30001-$50000 
$50001 or more 
Not stated. 
It was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

See definition of census usually resident population count"
V0273,individual,income,Total personal income (grouped) for the census usually resident population count aged 15 years and over,$20001-$30000,"A person's total personal income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total personal income (grouped) is an aggregated output variable with income bands of: 
$5000 or less 
$5001-$10000 
$10001-$20000 
$20001-$30000 
$30001-$50000 
$50001 or more 
Not stated. 
It was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

See definition of census usually resident population count"
V0274,individual,income,Total personal income (grouped) for the census usually resident population count aged 15 years and over,$30001-$50000,"A person's total personal income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total personal income (grouped) is an aggregated output variable with income bands of: 
$5000 or less 
$5001-$10000 
$10001-$20000 
$20001-$30000 
$30001-$50000 
$50001 or more 
Not stated. 
It was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

See definition of census usually resident population count"
V0275,individual,income,Total personal income (grouped) for the census usually resident population count aged 15 years and over,$50001 or More,"A person's total personal income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total personal income (grouped) is an aggregated output variable with income bands of: 
$5000 or less 
$5001-$10000 
$10001-$20000 
$20001-$30000 
$30001-$50000 
$50001 or more 
Not stated. 
It was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

See definition of census usually resident population count"
V0276,individual,income,Total personal income (grouped) for the census usually resident population count aged 15 years and over,Total people stated,"A person's total personal income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total personal income (grouped) is an aggregated output variable with income bands of: 
$5000 or less 
$5001-$10000 
$10001-$20000 
$20001-$30000 
$30001-$50000 
$50001 or more 
Not stated. 
It was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

See definition of census usually resident population count"
V0277,individual,income,Total personal income (grouped) for the census usually resident population count aged 15 years and over,Not stated,"A person's total personal income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total personal income (grouped) is an aggregated output variable with income bands of: 
$5000 or less 
$5001-$10000 
$10001-$20000 
$20001-$30000 
$30001-$50000 
$50001 or more 
Not stated. 
It was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

See definition of census usually resident population count"
V0278,individual,income,Total personal income (grouped) for the census usually resident population count aged 15 years and over,Total people,"A person's total personal income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total personal income (grouped) is an aggregated output variable with income bands of: 
$5000 or less 
$5001-$10000 
$10001-$20000 
$20001-$30000 
$30001-$50000 
$50001 or more 
Not stated. 
It was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

See definition of census usually resident population count"
V0279,individual,income,Total personal income (grouped) for the census usually resident population count aged 15 years and over,Median personal income ($),"A person's total personal income in the 12 months ending 31 March 2001 31 March 2006 and 31 March 2013.;

Total personal income (grouped) is an aggregated output variable with income bands of: 
$5000 or less 
$5001-$10000 
$10001-$20000 
$20001-$30000 
$30001-$50000 
$50001 or more 
Not stated. 
It was introduced in 2006 to ensure confidentiality of data for small geographic areas. ;

See definition of census usually resident population count;

For categories with small populations the median income may not look as expected because of the effect of random rounding.;

Median total personal income is rounded to the nearest $100."
V0280,individual,income,Sources of personal income for the census usually resident population count aged 15 years and over,Wages Salary Commissions Bonuses etc,"Includes all people who stated each source of personal income whether as their only source or as one of several. Where a person reported more than one source of personal income they have been counted in each applicable group.;

A person's sources of personal income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker.  In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0281,individual,income,Sources of personal income for the census usually resident population count aged 15 years and over,Self-employment or Business,"Includes all people who stated each source of personal income whether as their only source or as one of several. Where a person reported more than one source of personal income they have been counted in each applicable group.;

A person's sources of personal income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker.  In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0282,individual,income,Sources of personal income for the census usually resident population count aged 15 years and over,Interest Dividends Rent Other Invest.,"Includes all people who stated each source of personal income whether as their only source or as one of several. Where a person reported more than one source of personal income they have been counted in each applicable group.;

A person's sources of personal income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker.  In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0283,individual,income,Sources of personal income for the census usually resident population count aged 15 years and over,Payments from a Work Accident Insurer,"Includes all people who stated each source of personal income whether as their only source or as one of several. Where a person reported more than one source of personal income they have been counted in each applicable group.;

A person's sources of personal income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker.  In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0284,individual,income,Sources of personal income for the census usually resident population count aged 15 years and over,NZ Superannuation or Veterans Pension,"Includes all people who stated each source of personal income whether as their only source or as one of several. Where a person reported more than one source of personal income they have been counted in each applicable group.;

A person's sources of personal income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker.  In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0285,individual,income,Sources of personal income for the census usually resident population count aged 15 years and over,Other Super. Pensions Annuities,"Includes all people who stated each source of personal income whether as their only source or as one of several. Where a person reported more than one source of personal income they have been counted in each applicable group.;

A person's sources of personal income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker.  In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
V0286,individual,income,Sources of personal income for the census usually resident population count aged 15 years and over,Unemployment Benefit,"Includes all people who stated each source of personal income whether as their only source or as one of several. Where a person reported more than one source of personal income they have been counted in each applicable group.;

A person's sources of personal income in the 12 months ending 6 March 2001 7 March 2006 and 5 March 2013.;

In 2006 and 2013 unemployment benefit replaced the 2001 category community wage job seeker.  In 2006 and 2013 sickness benefit replaced the 2001 category community wage sickness benefit."
